"DEPCOM";"PTOT"
"01001";771
"01002";253
"01004";14202
"01005";1720
"01006";112
"01007";2763
"01008";755
"01009";324
"01010";1113
"01011";373
"01012";329
"01013";144
"01014";3356
"01015";647
"01016";460
"01017";450
"01019";27
"01021";1427
"01022";1244
"01023";71
"01024";3196
"01025";4078
"01026";948
"01027";2513
"01028";610
"01029";687
"01030";848
"01031";3632
"01032";3351
"01033";16427
"01034";9120
"01035";311
"01036";1320
"01037";302
"01038";753
"01039";443
"01040";490
"01041";745
"01042";281
"01043";4684
"01044";632
"01045";281
"01046";883
"01047";1094
"01049";3230
"01050";351
"01051";91
"01052";328
"01053";41238
"01054";1407
"01056";346
"01057";523
"01058";835
"01060";500
"01061";1155
"01062";931
"01063";531
"01064";1045
"01065";1797
"01066";83
"01067";254
"01068";778
"01069";1502
"01071";4843
"01072";3177
"01073";1003
"01074";2528
"01075";1361
"01076";127
"01077";192
"01078";1518
"01079";815
"01080";643
"01081";732
"01082";626
"01083";912
"01084";868
"01085";393
"01087";281
"01088";904
"01089";2195
"01090";348
"01092";1594
"01093";4881
"01094";755
"01095";818
"01096";1011
"01098";1144
"01099";1542
"01100";133
"01101";151
"01102";947
"01103";1980
"01104";462
"01105";1755
"01106";176
"01107";135
"01108";1178
"01109";2222
"01110";148
"01111";128
"01112";432
"01113";820
"01114";657
"01115";1337
"01116";498
"01117";149
"01118";1270
"01121";116
"01123";1154
"01124";677
"01125";616
"01127";508
"01128";309
"01129";278
"01130";2307
"01133";393
"01134";1739
"01135";2149
"01136";880
"01138";3019
"01139";441
"01140";771
"01141";449
"01142";4769
"01143";9785
"01145";1169
"01146";435
"01147";488
"01148";1854
"01149";1059
"01150";215
"01151";1152
"01152";750
"01153";2092
"01155";143
"01156";810
"01157";2213
"01158";1043
"01159";3328
"01160";9895
"01162";66
"01163";2060
"01165";1602
"01166";2422
"01167";639
"01169";624
"01170";1064
"01171";856
"01173";13092
"01174";180
"01175";808
"01177";180
"01179";1879
"01180";836
"01181";1235
"01183";1448
"01184";770
"01185";4856
"01187";643
"01188";645
"01189";1125
"01190";88
"01191";157
"01192";2255
"01193";229
"01194";6355
"01195";1770
"01196";1196
"01197";353
"01198";268
"01199";2132
"01200";215
"01202";7174
"01203";1313
"01204";729
"01206";276
"01207";316
"01208";128
"01209";758
"01210";229
"01211";1393
"01212";724
"01213";1321
"01214";155
"01215";137
"01216";891
"01219";166
"01224";3176
"01225";377
"01227";642
"01228";648
"01229";1243
"01230";315
"01231";1949
"01232";2258
"01233";131
"01234";169
"01235";1139
"01236";1001
"01237";1647
"01238";2632
"01239";617
"01240";633
"01241";1345
"01242";135
"01243";1239
"01244";7847
"01245";930
"01246";2195
"01247";325
"01248";2148
"01249";10042
"01250";1944
"01252";782
"01254";2024
"01255";634
"01257";348
"01258";1188
"01259";697
"01260";299
"01261";643
"01262";6924
"01263";3783
"01264";1028
"01265";3419
"01266";2515
"01267";1027
"01268";249
"01269";3410
"01272";1510
"01273";1772
"01274";642
"01275";2549
"01276";1624
"01277";119
"01279";84
"01280";139
"01281";4419
"01282";259
"01283";22329
"01284";689
"01285";1221
"01286";946
"01288";2701
"01289";6508
"01290";1259
"01291";842
"01293";152
"01294";879
"01295";676
"01296";412
"01297";843
"01298";141
"01299";569
"01301";2526
"01302";161
"01303";1706
"01304";2944
"01305";2235
"01306";1632
"01307";841
"01308";810
"01309";86
"01310";250
"01311";44
"01313";8474
"01314";1733
"01317";327
"01318";726
"01319";464
"01320";3748
"01321";888
"01322";4923
"01323";977
"01325";994
"01328";589
"01329";149
"01330";184
"01331";183
"01332";761
"01333";3386
"01334";649
"01335";396
"01336";1160
"01337";1288
"01338";1203
"01339";1432
"01342";561
"01343";1779
"01344";5845
"01345";2287
"01346";864
"01347";1997
"01348";2918
"01349";475
"01350";2537
"01351";1565
"01352";576
"01353";1676
"01354";13242
"01355";470
"01356";209
"01357";501
"01358";431
"01359";244
"01360";1823
"01361";1527
"01362";775
"01363";1748
"01364";750
"01365";1160
"01366";1051
"01367";747
"01368";836
"01369";939
"01370";1689
"01371";1258
"01372";442
"01373";1038
"01374";1844
"01375";785
"01376";3977
"01378";2606
"01379";758
"01380";651
"01381";916
"01382";283
"01383";1555
"01384";2228
"01385";990
"01386";1138
"01387";257
"01388";1103
"01389";1843
"01390";1266
"01391";267
"01392";650
"01393";540
"01396";980
"01397";994
"01398";1359
"01399";2089
"01400";137
"01401";2126
"01402";657
"01403";1279
"01404";134
"01405";1264
"01406";174
"01407";1000
"01408";665
"01410";306
"01411";273
"01412";588
"01415";475
"01416";1026
"01418";1081
"01419";5981
"01420";1715
"01421";728
"01422";1359
"01423";1114
"01424";1728
"01425";289
"01426";2570
"01427";6881
"01428";128
"01429";689
"01430";601
"01431";1221
"01432";311
"01433";320
"01434";455
"01435";2167
"01436";475
"01437";232
"01439";99
"01441";713
"01443";4962
"01444";1185
"01445";635
"01446";1521
"01447";1308
"01448";387
"01449";757
"01450";3684
"01451";6554
"01452";1107
"01453";709
"01454";1104
"01456";71
"01457";3079
"02001";500
"02002";606
"02003";1020
"02004";180
"02005";381
"02006";258
"02007";123
"02008";293
"02009";540
"02010";175
"02011";1151
"02012";70
"02013";395
"02014";736
"02015";73
"02016";222
"02017";318
"02018";2541
"02019";362
"02020";455
"02021";86
"02022";405
"02023";102
"02024";51
"02025";369
"02027";218
"02028";2605
"02029";359
"02030";263
"02031";659
"02032";254
"02033";105
"02034";119
"02035";280
"02036";76
"02037";1404
"02038";57
"02039";171
"02040";178
"02041";807
"02042";385
"02043";66
"02044";25
"02046";560
"02047";111
"02048";133
"02049";736
"02050";327
"02051";388
"02052";136
"02053";570
"02054";458
"02055";89
"02056";177
"02057";1415
"02058";851
"02059";2707
"02060";260
"02061";248
"02062";137
"02063";379
"02064";3815
"02065";598
"02066";200
"02067";212
"02068";95
"02069";107
"02070";448
"02071";657
"02072";188
"02073";671
"02074";598
"02075";196
"02076";156
"02077";382
"02078";164
"02079";150
"02080";342
"02081";438
"02082";111
"02083";741
"02084";258
"02085";1022
"02086";1027
"02087";32
"02088";89
"02089";1146
"02090";210
"02091";101
"02093";1295
"02094";457
"02095";5675
"02096";199
"02097";258
"02098";375
"02099";228
"02100";138
"02101";192
"02102";189
"02103";1331
"02104";100
"02105";198
"02106";816
"02107";105
"02108";157
"02109";479
"02110";2239
"02111";710
"02112";558
"02114";1572
"02115";195
"02116";146
"02117";66
"02118";127
"02119";332
"02120";195
"02121";243
"02122";54
"02123";303
"02124";653
"02125";203
"02126";456
"02127";192
"02128";1504
"02129";19
"02130";193
"02131";1873
"02132";197
"02133";406
"02134";867
"02135";1162
"02136";128
"02137";155
"02138";193
"02139";442
"02140";452
"02141";1782
"02142";246
"02143";189
"02144";144
"02145";545
"02146";89
"02148";256
"02149";64
"02150";62
"02151";115
"02152";89
"02153";765
"02154";363
"02155";170
"02156";256
"02157";839
"02158";278
"02159";287
"02160";543
"02162";285
"02163";2597
"02164";323
"02165";1651
"02166";354
"02167";885
"02168";15347
"02169";83
"02170";125
"02171";88
"02172";250
"02173";11772
"02174";824
"02175";158
"02176";205
"02177";141
"02178";106
"02179";387
"02180";715
"02181";80
"02182";121
"02183";185
"02184";354
"02185";397
"02186";1351
"02187";1120
"02188";148
"02189";354
"02190";524
"02191";508
