"UID_ANONYM_COVID","coco4_cal_AGE1","coco4_cal_AGE2","coco4_cal_DIPL","coco4_cal_SEXE","coco4_cal_ZEAT","coco4_q04","coco4_q05_c","coco4_q06_1","coco4_q06_2","coco4_q06_3","coco4_q06_4","coco4_q06_5","coco4_q06_6","coco4_q06_7","coco4_q06_8","coco4_q06_9","coco4_q06_10","coco4_q07_1","coco4_q07_2","coco4_q07_3","coco4_q09","coco4_q10","coco4_q16","coco4_q17","coco4_q18","coco4_q19","coco4_q20","coco4_q21","coco4_q25_a","coco4_q38_modifie","coco4_q62_modifie","coco4_q63_modifie","coco4_q64_modifie","coco4_q68","coco4_q79","coco4_q125_modifie_1","coco4_q125_modifie_2","coco4_q125_modifie_3","coco4_q125_modifie_4","coco4_q125_modifie_5","coco4_q141","coco4_q142_1","coco4_q142_2","coco4_q142_3","coco4_q142_4","coco4_q143_1","coco4_q143_2","coco4_q143_3","coco4_q143_4","coco4_q143_5","coco4_q143_6","coco4_q143_7","coco4_q143_8","coco4_q143_9","coco4_q144","coco4_q145","coco4_experience_1_DO","coco4_q146","coco4_q147","coco4_q148","coco4_q149","coco4_q150_1","coco4_q150_2","coco4_q150_3","coco4_q150_4","coco4_q150_5","coco4_q150_6","coco4_q150_7","coco4_q151_1_c","coco4_q151_2_c","coco4_q151_3_c","coco4_q151_4_c","coco4_q151_5_c","coco4_q151_6_c","coco4_q152","coco4_q153_1","coco4_q153_2","coco4_q153_3","coco4_q153_4","coco4_q153_5","coco4_q153_6","coco4_q154_1","coco4_q154_2","coco4_q154_3","coco4_q154_4","coco4_q154_5","coco4_q155_1","coco4_q155_2","coco4_q155_3","coco4_q155_4","coco4_q155_5","coco4_q155_6","coco4_q155_7","coco4_q155_8","coco4_q155_9","coco4_q155_10","coco4_SWB","ea17_SWB","ea18_SWB","ea19_SWB","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014","POIDS_coco4","PDSPLT_coco4","coco4_cal_NAT","POIDS_INIT_coco4","PDSPLT_INIT_coco4"
1,6,6,2,1,5,2,7,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,5,2,5,2,4,1,4,3,2,1,3,5,2,2,1,2,3,2,2,2,2,1,2,2,2,3,1,2,2,3,3,1,1,1,1,6666,6666,3,2,5,2,5,1,2,3,1200,1100,1800,1800,1300,1100,2,2,3,2,2,3,2,3,3,4,4,4,5,4,5,5,4,3,5,5,4,2,0.869188613685696,0.743326619375809,0.561975740668906,0.739924041717906,1,14,1,9,6,2,6,4,1,1,2,7,6,6,6,6,1,6,6,2,3,8,2,6,2,1,1,6,6,6,6,6,6,6,6,66,2,66,4,1,6,2,1,2,6,6,1,6,66,1,5,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,77,99,3,1,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,1,3,2,3,2,3,7,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,8,3,1,61,6,5,3,2019,5,111,3,3,1.0168432146178,"NA",1,1.29120799,"NA"
5,4,4,3,2,5,2,7,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,5,1,5,2,4,2,1,2,3,0,3,8,3,4,2,2,3,1,2,1,2,2,3,3,3,4,3,3,3,2,3,1,2,2,6666,1,6666,4,3,5,5,4,3,3,4,1400,1400,1400,1400,1700,1400,1,3,3,3,3,3,3,1,1,1,5,1,5,4,5,1,4,4,5,1,7,4,0.916172841544036,0.719315819842855,0.802028397007887,0.76946688895675,2,10,1,3,6,2,6,5,1,3,2,3,1,6,6,6,6,6,10,4,4,10,6,6,1,1,1,3,2,3,6,6,1,1,6,66,66,6,11,6,6,3,1,2,6,6,2,6,66,1,6,3,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,12,9,2,1,1,1,1,2,2,3,2,6,6,6,6,6,6,6,6,6,1,2,3,2,2,2,2,4,2,4,2,1,1,2,2,2,1,1,2,1,2,3,5,3,3,41,4,4,4,2019,5,112,8,0,0.4248167120707,"NA",1,0.608547109,"NA"
6,6,6,4,2,1,2,3,2,2,1,2,2,2,2,2,2,2,2,2,1,3,6666,5,5,2,5,2,3,3,4,2,3,1,2,7,4,3,1,3,4,1,2,1,2,2,3,4,3,3,4,3,2,2,3,1,2,1,2,6666,6666,2,4,4,4,4,3,3,5,850,1000,900,1000,1200,900,2,3,3,3,3,3,3,3,2,1,4,5,5,1,4,1,7,4,6,1,5,1,0.880329941208675,0.803753667114979,0.832648305725895,0.811228125197736,2,14,1,1,6,2,6,5,3,6,6,66,6,6,6,6,1,6,11,5,6,66,2,6,2,6,66,88,6,66,6,6,6,6,6,66,66,66,5,6,6,1,1,1,2,1,3,2,4,3,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,13,10,1,1,2,2,2,1,2,4,2,6,6,6,6,6,6,6,6,6,1,3,2,1,3,1,1,2,4,3,3,2,5,1,2,2,2,1,2,1,1,2,5,2,3,54,5,666,1,2019,1,111,10,8,0.10646048795298,"0,283024424858349",1,0.220353115,"0,65757376"
7,3,3,3,1,5,2,5,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,3,4,3,4,3,3,2,4,4,2,6,2,4,3,3,2,2,2,2,1,1,1,2,2,2,2,2,3,3,3,2,3,2,2,3,6666,6666,1,2,5,5,3,4,4,4,4,1300,1400,1250,1400,1400,1100,3,2,2,2,2,3,3,4,3,4,4,4,4,4,5,4,4,5,5,3,5,3,0.627012096652168,0.389196462981355,0.566151933070877,0.472622967957765,1,8,2,3,6,1,2,4,1,1,2,4,1,6,6,1,6,6,10,4,5,11,6,2,1,2,3,6,2,5,6,6,1,1,6,66,5,66,11,3,6,5,4,2,6,6,2,6,66,1,4,3,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,11,5,1,1,1,1,1,2,2,2,2,6,6,6,6,6,6,6,6,6,4,2,3,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,4,1,2,8,3,2,36,3,4,4,2019,5,112,9,2,0.617814466793371,"1,14137059916807",2,0.394095845,"0,743816426"
8,3,3,4,1,3,2,9,2,2,2,1,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,4,2,4,2,3,2,3,7,2,5,3,2,2,3,3,1,2,2,2,1,2,3,2,3,4,4,3,2,4,2,2,1,1,6666,6666,1,3,4,3,3,3,3,3,1200,1200,1200,1200,1200,1200,3,3,3,3,3,3,3,9999,1,4,4,4,5,3,6,2,5,4,5,3,5,3,0.821506978202917,0.792171196621714,0.847768433157537,0.821506978202917,1,9,1,1,6,2,6,3,1,3,2,3,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,5,1,4,6,6,1,1,6,66,5,66,8,2,6,2,1,1,3,4,3,2,4,2,3,2,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,12,10,1,1,1,2,2,2,2,4,2,6,6,6,6,6,6,6,6,6,2,2,4,1,2,2,2,2,2,2,2,2,4,2,2,2,1,2,2,1,1,1,4,2,4,36,3,3,3,2019,2,111,9,7,0.408685674049958,"0,231450954522979",1,0.315611018,"0,648964268"
9,3,3,4,1,2,2,8,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,4,2,4,1,1,3,3,3,2,7,3,3,2,2,3,2,2,2,2,1,2,3,3,4,2,3,3,2,3,1,1,2,6666,1,6666,2,5,4,3,3,2,2,3,1400,1200,1100,1300,1700,1100,2,2,3,2,2,3,2,4,3,4,3,3,3,4,5,2,4,5,5,3,4,3,0.766065135396119,0.814439513248805,0.752405162191978,0.687979553714143,1,9,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,1,2,1,6,6,1,1,6,66,66,5,11,6,6,5,3,2,6,6,2,6,66,1,8,3,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,12,7,1,1,2,2,2,2,2,4,2,6,6,6,6,6,6,6,6,6,3,2,3,1,3,2,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,8,2,3,51,5,4,4,2019,2,112,9,0,0.0479067665725515,"0,251985388789606",1,0.035905221,"0,402513781"
10,5,5,3,2,8,2,8888,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,5,2,5,1,3,1,4,9999,2,2,2,5,2,2,2,2,2,2,1,1,2,2,3,3,3,3,3,2,3,3,3,1,1,3,6666,6666,2,2,3,4,3,4,3,3,3,9999,9999,9999,9999,9999,9999,5,3,2,2,2,3,2,3,3,4,4,3,5,3,5,3,5,5,6,3,4,4,0.918417063514989,0.678458635515048,0.503754584045184,0.746147063597523,2,12,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,8,3,3,9,2,2,2,2,6,2,6,5,6,6,6,6,6,66,66,5,10,6,6,2,1,1,3,1,3,2,4,2,3,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,9,5,1,1,2,2,2,1,2,4,2,6,6,6,6,6,6,6,6,6,5,1,3,2,1,2,1,2,3,2,1,2,1,2,2,1,2,2,1,2,1,3,5,3,2,51,5,5,3,2019,8,111,9,7,0.782449060065523,"NA",1,1.787505177,"NA"
13,4,4,3,1,7,2,8,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,1,4,2,2,6,2,2,2,6,2,7,3,2,2,2,2,2,2,2,1,2,2,2,2,3,2,3,2,3,3,1,1,1,1,6666,6666,1,4,5,4,5,3,3,4,1300,1200,1400,1300,1500,1300,3,2,3,2,2,3,2,5,3,4,5,4,3,4,7,4,6,7,7,3,7,5,0.770209002198141,0.555489536164922,0.516891157641634,0.587539787999087,1,10,1,1,6,2,6,1,3,6,6,66,1,6,6,6,6,6,9,3,6,66,6,6,1,6,66,5,2,66,6,6,1,1,6,66,3,66,2,4,6,1,1,2,6,6,2,6,66,1,6,4,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,9,8,1,1,2,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,1,2,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,4,2,5,47,4,666,1,2019,7,112,9,4,0.0463472511516387,"0,615646311937389",1,0.044879963,"0,491116771"
14,5,5,1,1,8,2,4,2,2,1,2,2,2,1,2,1,2,1,2,2,3,6666,4,4,2,3,2,3,3,4,4,2,5,3,5,3,3,3,3,3,2,1,1,2,2,3,2,3,4,2,3,2,3,2,1,1,2,6666,2,6666,3,3,5,4,3,3,3,3,9999,9999,9999,9999,9999,9999,2,3,3,3,3,3,3,4,2,4,3,4,4,4,5,4,4,4,4,4,4,4,0.696963319385181,0.469068247127978,0.396565645727931,0.395868238103491,1,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,5,1,1,4,2,2,2,2,6,5,6,2,6,6,6,6,6,66,2,66,2,2,6,2,1,1,2,1,1,6,66,2,4,5,4,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,8,4,1,1,2,2,2,2,2,3,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,5,4,5,61,6,5,3,2019,8,111,6,4,2.87812348281541,"NA",1,2.453382281,"NA"
15,5,5,3,2,7,2,3,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,5,5,1,5,2,4,1,4,2,3,1,2,8,3,3,3,4,4,2,1,2,2,2,2,1,3,2,4,3,3,4,2,1,2,1,1,6666,6666,2,4,5,5,5,4,3,5,1200,700,1200,1300,2000,1500,2,3,3,3,3,3,3,4,2,4,4,4,3,2,5,1,6,6,6,1,7,5,0.948734349595173,0.720833789153133,0.880329941208675,0.773825342720137,2,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,8,3,2,6,2,2,2,2,6,4,6,2,6,6,6,6,6,66,66,2,11,6,6,1,1,1,2,1,1,6,66,1,7,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,11,9,1,1,1,1,2,1,2,3,2,6,6,6,6,6,6,6,6,6,3,3,4,1,4,2,2,1,4,1,1,2,3,2,2,2,1,2,1,2,1,3,6,2,3,61,6,4,1,2019,7,112,8,2,0.150998826584937,"0,618286668471861",1,0.304862789,"1,383351242"
