"UID_ANONYM_COVID","coco5_q04","coco5_q06_1","coco5_q06_10","coco5_q06_2","coco5_q06_3","coco5_q06_4","coco5_q06_5","coco5_q06_6","coco5_q06_7","coco5_q06_8","coco5_q06_9","coco5_q07_1","coco5_q07_2","coco5_q07_3","coco5_q09","coco5_q10","coco5_q16","coco5_q17","coco5_q18","coco5_q19","coco5_q20","coco5_q21","coco5_q25_a","coco5_q37","coco5_q38_modifie","coco5_q64_modifie","coco5_q68","coco5_q79","coco5_q156","coco5_q157_1","coco5_q157_2","coco5_q157_3","coco5_q157_4","coco5_q157_5","coco5_q157_6","coco5_q157_7","coco5_q157_8","coco5_social_policy_DO","coco5_q158","coco5_q159","coco5_q160_1","coco5_q160_2","coco5_q160_3","coco5_q160_4","coco5_q160_5","coco5_q160_6","coco5_q160_7","coco5_q160_8","coco5_q161_1","coco5_q161_2","coco5_q161_3","coco5_q161_4","coco5_q161_5","coco5_q161_6","coco5_q162_1","coco5_q162_2","coco5_q162_3","coco5_q162_4","coco5_q162_5","coco5_q162_6","coco5_q162_7","coco5_q163_1","coco5_q163_2","coco5_q163_3","coco5_q163_4","coco5_q163_5","coco5_q163_6","coco5_q163_7","coco5_q163_8","coco5_q163_9","coco5_q164","coco5_q165_1","coco5_q165_2","coco5_q166","coco5_q167","coco5_q168","coco5_q169_1","coco5_q169_2","coco5_q169_3","coco5_q169_4","coco5_q169_5","coco5_q169_6","coco5_q169_7","coco5_q169_8","coco5_q169_9","coco5_q170_1","coco5_q170_2","coco5_q170_3","coco5_q170_4","coco5_q170_5","coco5_q171","coco5_q172","coco5_q173_1","coco5_q173_2","coco5_q173_3","coco5_q173_4","coco5_FL_26_DO_exp","coco5_q178_a_1","coco5_q178_a_2","coco5_q178_a_3","coco5_q178_a_4","coco5_q178_b_1","coco5_q178_b_2","coco5_q178_b_3","coco5_q178_b_4","coco5_q179_a_1","coco5_q179_a_2","coco5_q179_a_3","coco5_q179_a_4","coco5_q179_a_5","coco5_q179_a_6","coco5_q179_b_1","coco5_q179_b_2","coco5_q179_b_3","coco5_q179_b_4","coco5_q179_b_5","coco5_q179_b_6","coco5_q180_c","coco5_q181_c","coco5_q182_c","coco5_q183","coco5_q184","coco5_q185","coco5_q186","coco5_q187","coco5_SWB","ea17_SWB","ea18_SWB","ea19_SWB","coco5_POIDS_INIT","coco5_PDSPLT_INIT","cal_SEXE","cal_NAT","cal_AGE1","cal_AGE2","cal_DIPL","cal_ZEAT","coco5_POIDS","coco5_PDSPLT","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014"
610,2,2,2,1,1,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,5,2,3,1,6,1,3,1,7,4,4,4,4,3,4,4,4,3,1,2,6666,4,3,2,4,2,2,2,3,3,3,2,3,1,1,2,2,2,2,2,2,1,3,4,3,4,4,3,4,4,4,3,3,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,3,2,3,2,2,6666,6666,6666,6666,2,3,2,3,6666,6666,6666,6666,6666,6666,1,1,9999,9999,9999,9999,7,4,7,5,5,1,1,5,0.840146349672006,0.519654814480238,0.447133888508318,0.502468437834432,0.178572267,"0,64037942",1,1,3,3,3,4,0.196494880262828,"0,516943434856147",1,8,1,1,6,2,6,6,3,6,6,66,1,6,6,6,6,6,10,4,6,66,6,6,1,6,66,5,2,66,6,6,1,1,6,66,3,66,8,4,6,2,2,2,6,6,1,6,66,1,5,4,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,11,9,1,1,1,1,1,1,2,6,2,6,6,6,6,6,6,6,6,6,4,1,2,2,4,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,2,6,2,4,47,4,666,2,2019,4,120,0,0
884,1,1,2,2,2,1,2,2,1,2,2,1,2,2,3,6666,4,4,1,5,2,3,2,0,4,4,2,10,9,1,5,3,3,2,3,3,3,1,1,6666,4,1,4,3,3,1,4,1,3,3,2,3,3,3,2,2,2,2,2,2,1,4,4,4,4,4,3,4,6666,6666,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3,3,2,3,1,1,2,2,1,6666,6666,6666,6666,1,1,1,9999,1,1,6666,6666,6666,6666,6666,6666,7,5,5,5,3,2,1,5,0.845103634258708,0.853853272643983,0.678061784538184,0.731466426769448,0.342538903,"2,215685561",1,1,5,5,1,7,0.510761102194175,"1,50361710312975",1,11,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,5,2,5,6,6,1,1,6,66,4,66,6,1,6,2,1,1,2,1,1,6,66,1,6,4,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,12,9,1,1,2,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,3,2,3,2,2,2,1,2,3,1,1,2,1,2,2,2,1,2,1,2,1,3,6,3,3,36,3,4,3,2019,7,112,7,2
1040,2,1,2,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,2,5,2,3,1,0,4,2,4,8,8,3,3,2,3,3,2,2,3,2,6666,1,4,2,2,2,2,3,4,1,2,1,1,1,3,2,2,2,1,2,1,1,2,4,3,3,2,2,3,4,6666,6666,2,3,4,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,3,3,4,1,3,1,3,1,6666,6666,6666,6666,6,6,2,9999,6,9999,6666,6666,6666,6666,6666,6666,3.5,2,8888,4,5,2,1,6,0.874338180119007,0.68811406824061,0.644453477271664,0.592413388025497,2.01179309,"2,238520067",2,1,6,6,1,5,2.02790464427434,"2,20958999308319",2,14,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,5,1,2,6,2,2,2,2,6,5,6,5,6,6,6,6,6,66,6,66,5,4,6,2,1,1,2,1,1,6,66,1,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,11,8,1,1,2,1,2,2,2,3,2,6,6,6,6,6,6,6,6,6,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,3,6,3,3,54,5,4,3,2019,5,300,0,0
403,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,9999,9999,9999,9999,2,0,4,5,3,6,8,3,4,3,4,4,5,5,3,1,1,6666,4,3,2,3,3,3,2,2,3,3,3,3,3,3,2,2,2,1,2,2,2,4,4,4,4,4,4,4,6666,6666,2,2,3,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,3,3,3,2,6666,6666,6666,6666,2,1,2,2,6666,6666,6666,6666,6666,6666,6,6,3,5,5,5,7,6,6,6,5,1,1,6,9999,0.937681090242517,0.901750121736834,0.901750121736834,1.784519019,"1,40774078",2,1,5,5,2,8,1.11525007293053,"1,56085754770169",2,12,1,1,6,2,6,4,1,1,2,7,7,3,6,6,1,2,5,1,3,9,2,2,2,2,6,5,6,66,6,6,6,6,6,66,6,66,6,2,6,2,1,2,6,6,1,6,66,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,11,7,1,1,1,1,1,1,1,5,2,6,6,6,6,6,6,6,6,6,3,8,4,2,1,2,2,2,3,4,2,1,4,2,2,1,2,2,1,2,2,4,6,2,4,54,5,666,3,2019,8,111,9,7
864,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,3,4,2,3,3,2,4,0,4,9,3,1,5,3,3,3,2,3,2,2,3,1,1,6666,3,1,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,1,1,2,2,3,3,3,3,3,3,3,6666,6666,1,1,4,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,2,3,1,1,1,1,1,6666,6666,6666,6666,4,5,3,3,4,3,6666,6666,6666,6666,6666,6666,2,3,1,3,1,3,2,1,0.585111968621197,0.446018989050697,0.469906929783295,0.268533573230552,0.138682175,"1,261420487",1,1,5,5,2,5,0.105637766601962,"0,884992517896879",1,12,1,1,6,2,6,5,1,3,2,4,7,3,6,3,1,1,7,2,2,7,2,2,2,2,7,1,6,88,6,6,6,6,6,66,66,1,1,6,6,2,1,2,6,6,3,2,1,1,4,3,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,6,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,3,2,2,1,1,1,2,2,2,1,2,1,1,1,3,5,3,1,66,6,999,3,2019,5,120,0,0
1532,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,2,5,2,3,2,0,4,5,2,6,5,3,4,4,4,4,4,4,4,1,1,6666,4,3,4,2,2,3,3,2,3,3,1,2,1,2,1,2,2,2,2,2,2,3,3,3,3,2,1,3,6666,6666,4,2,1,1,1,9999,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,3,3,3,1,3,3,1,1,6666,6666,6666,6666,2,2,4,7,3,4,6666,6666,6666,6666,6666,6666,8888,5,8888,4,4,2,2,6,0.874338180119007,0.564254219887992,0.646395076604794,0.51071009026408,0.040375324,"2,165356804",1,3,5,5,4,1,0.0179566480460251,"2,62781458404371",1,13,3,3,2,1,1,3,1,3,2,2,6,6,6,1,1,6,11,5,1,5,2,2,2,2,3,5,6,1,6,6,6,6,6,66,6,66,10,4,6,3,2,1,3,2,3,1,9,2,3,2,5,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,5,1,1,2,2,2,2,2,2,3,1,1,2,2,2,1,2,2,2,2,4,1,3,2,4,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,3,5,3,3,41,4,5,4,2019,1,111,10,8
386,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,4,3,2,2,6,3,2,2,6,8,3,3,2,3,3,3,3,4,2,6666,1,3,3,2,3,2,2,3,2,3,2,2,2,2,2,2,2,1,1,2,2,2,3,3,3,3,3,3,3,4,4,1,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,2,6666,6666,6666,6666,2,3,2,2,6666,6666,6666,6666,6666,6666,2,2,5,4,2,2,6,2,4,4,4,1,1,4,0.669372806722956,0.673853400880988,0.658876197078866,0.685137652033487,0.38120582,"0,774562492",1,2,5,5,3,7,0.394759771159662,"0,32241870435011",1,11,2,2,6,2,6,4,1,1,2,7,1,6,6,6,6,1,8,3,1,5,6,2,1,2,6,4,2,4,6,6,1,1,6,66,66,5,6,6,6,4,1,2,6,6,1,6,66,1,6,5,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,13,9,1,1,1,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,2,1,2,2,2,2,2,2,2,1,2,2,4,1,2,2,2,1,1,1,1,3,6,2,5,41,4,5,4,2019,7,112,9,5
437,1,2,2,2,1,1,1,2,2,2,2,1,2,2,3,6666,5,5,2,4,2,3,3,4,3,2,2,8,4,4,4,4,4,4,4,4,4,2,6666,1,4,1,1,2,1,1,3,1,1,2,2,2,1,2,1,2,1,2,2,2,2,4,4,4,5,4,4,4,4,4,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,3,3,3,2,6666,6666,6666,6666,4,3,2,1,6666,6666,6666,6666,6666,6666,2,4,4,1,4,3,7,8,5,5,4,1,1,5,0.838107536387003,0.7648062089508,0.725261974915334,0.813265325773269,0.035905221,"0,449749275",1,1,4,4,4,4,0.030156072124904,"0,244333066479649",1,10,1,1,6,2,6,4,1,1,2,6,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,4,1,1,6,6,1,1,6,66,66,6,8,6,6,5,4,2,6,6,1,6,66,1,7,4,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,13,8,1,1,1,1,2,1,2,5,2,6,6,6,6,6,6,6,6,6,3,3,3,1,3,1,1,1,1,3,9,9,1,1,2,2,1,2,1,2,1,4,7,1,1,36,3,4,4,2019,4,111,7,6
537,3,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,1,5,3,3,1,0,4,4,3,4,8,4,4,3,3,3,3,3,3,2,6666,1,4,2,2,4,2,3,4,3,1,3,3,4,2,4,2,2,2,2,2,2,1,3,3,3,2,3,3,3,6666,6666,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,3,4,3,4,2,6666,6666,6666,6666,4,1,2,2,6666,6666,6666,6666,6666,6666,5,9999,5,9999,5,5,4,4,4,4,4,2,1,3,0.869842390994266,0.511873678001156,0.426336147723865,0.608307954298479,0.724076956,"1,317068428",1,1,6,6,2,7,0.690180489464843,"0,873508885699261",1,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,6,6,2,2,6,2,6,2,1,1,2,6,4,6,6,6,6,6,66,66,2,2,6,6,4,1,2,6,6,1,6,66,1,4,5,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,10,3,1,1,2,1,1,2,2,3,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,1,2,3,2,1,2,1,2,2,2,1,2,1,3,1,2,6,3,2,61,6,5,4,2019,7,112,9,0
853,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,1,5,3,4,6,0,4,7,2,7,7,5,4,5,4,4,3,3,4,2,6666,2,4,2,1,4,4,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,5,6666,6666,4,2,2,2,9999,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,3,3,1,1,2,2,1,6666,6666,6666,6666,2,2,5,3,1,6,6666,6666,6666,6666,6666,6666,4,3,3,5,4,1,1,6,0.813763831322325,0.850849677020855,0.584074758796002,0.636584600909519,0.294345995,"1,081247937",2,1,5,5,2,7,0.211256323458088,"0,837434301782327",2,11,1,1,6,2,6,4,2,1,2,7,6,6,6,6,1,6,7,2,6,66,2,6,2,6,66,9,6,66,2,6,6,6,6,66,66,66,11,6,6,1,1,1,3,1,1,6,66,2,2,5,5,2,1,2,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,1,3,88,99,3,3,3,3,3,3,1,5,1,2,2,2,2,1,2,2,2,2,2,4,4,2,2,2,2,3,1,1,3,1,1,1,1,2,2,2,2,1,2,4,6,4,5,20,2,666,1,2019,7,111,8,6
