 2731 811626 636666 1611662666410 5616 366 846 47  46666666666666662222661666154222222111221222222222 91111111122666666666 641224222211126622122112 62421615 9233333321222 5 3 6112666666661 0.64037942 0.64037942133340.817497351 1.008167724120 00
 7641 611626 4112 5 1611661666511 5616 566 146 36  3 1616 366104  444326632 4142222222222211222222222 91121121122666666666 52232122122221 222111122 72121564 9233434221222 5 6 51126666666610.6760282380.676028238122421.1574539681.2828622042120 04
 1291 911626 136666 1611662666511 161666 6 966 32  36666666666666661112661666164222222122221222222222993771112222666666666 513321211332216622122114 7212151516233433321222 7 5 31126666666610.3322823770.332282377133450.2081783120.2776108415211 23
 11611111626 4112 7 1611662666511 5616 466 616 36  3 1616 566115  43211211666164222222122221221222222 91121211122666666666 432322212311216622122213 63321514 9234424221222 4 5 41126666666612.2156855612.215685561155172.9503728983.1614416517112 72
 14221411626 4112 7 62266666611 5 5666 666 546 54  5 6226 561 62  43211211666155222222222212221222222 81111212222666666666 322212212212116622122213 6332151514133434321122 2 4 61126666666612.2385200672.23852006726615 0.794263481.0310676955300 00
 91521011626 4112 7 16116626662 7 5616 1661116 55  5 1616 826104  23212661666154122122222221122222222 71111111122666666666 531315223111146622212112 9152161512233533221222 3 3 76626666666611.1729349211.172934921244260.6848334720.9329137636111 75
 27721211626 4112 7 72266663611 5 5666 666 626 54  5 62266662 936663212661666142222222222212221222222 71111111112666666666 538421222342146621222224 6242156411235525221222 2 1 7662666666661 1.40774078 1.40774078255280.5977170030.6366931128111 97
 46711211626 5132 4 72266663612 7 166666 1 166 66  6 72238861 7299932126632 1143122222121222221221222 21 61222121212222222 212221223221116622122113 5312151516122242421111 2 4 13412222221111.2614204871.261420487155250.2822462730.2806950295120 00
 8371 911626 4112 6 16116626661 5 5616 166 216 66  6 7223 461 72  546413432 9153222222122221222211122 21 91212221222222221 242223212111146612222123 2332156416134435316212 6 9 62112122222110.9508237820.950823782133260.6836839280.9585990126112 60
  2011333211 3132 2 6226666661511 5666 6661046 41  4 3221 166 51  543213231 9232522222212222211222222 11 52222221122212222 34132422111212 621221113 5331221216223333322222 5 4 61126666666612.1653568042.165356804155412.0430823072.0263812381111108
 52111122626 4112 7 16116626663 8 461666 5 666 41  4 6226 461 51  54412661666165222222121221221222222 91131111122666666666 42122222221224 622211113 6252151516234424321222 5 6 32226666666610.7745624920.774562492155370.8460103910.7904089677112 95
 1951 923612 4112 5 82266663612 6 6666 2661136 51  5 1616 666 72  544326631 5234322222222211222111221 32 91322221222222221 258222222121149922111413 5424123116174323322112 6 9 76626666666610.9843342060.984334206133210.4653758650.5755816061111108
 66211011626 4112 6 1611661666511 461666 6 866 36  3 1616 166115  44542661666174222221111221222212222 81131112122666666666 53331311113991 222121214 71121514 9234524221222 5 6 53226666666610.4497492750.449749275144440.812551097 0.897207344111 76
 30911311626 4112 7 62266666612 6 266666 2 266 61  6 1616 466 62  54412661666145122222122222221222222 31101211221222212222 322322212321216622122312 6322141412224434416222 5 8 21526666666611.3170684281.317068428166270.8976808380.8132241477112 90
 75911011626 3122 7776766666664106666666666666666666 1616 566115  33212662666194222222222211222222222101121111122666666666 33242322233221 222121111 92221515 9223425221222 5 5 31112122222210.5093710820.509371082144350.1909050590.2306460225111 76
  131 711626 2222 2 1611662666511 161666 6 866 32  366666666666666611126632 4223521121122221222222222 91101222222666666666 21321222153232 221111121 32212664 6233534321222 7 8 31212222221110.4370412180.43704121813344 0.858142691.0520587622111 97
 54821111626 4212 7 62266666612 7 926666661166 20  26666666666666661111311666225522222222213321222213993883333311222212222 52442222311311 212221124 6451256516114323221211 4 1 13312122222111.0812479371.081247937255270.6781375590.6552061227111 86
 1022 911626 4112 6 1612 426663 8 5611 6661026 51  5 3221 566 83  64311322666163122222222211212222222993772222222666666666 322223228221116612222212 6442161314111141421212 4 6 53126666666610.3055461080.305546108233250.0714644540.0991381825120 00
 6002 911626 136666 16116626663 9 5616 266 136 61  66666666666666662332661666142122222222211222212222 31 81122222666666666 242324221231916621222114 8321251516233425321122 3 1 76626666666610.8351231260.835123126233360.8144376241.2849374446211 23
 32211411626 736666 62266666612 6 266666 5 266 61  66666666666666661112661666155122222222212221222222 71 93313322666666666 322121221211136612222113 05221614 6111151521212 6 7 76626666666612.7521243452.752124345167262.5520637471.7571818276211 23
 7531 911626 3132 4 1611662666511 161666 6 966 32  3 1616 166104  43212665666144222222111221222222222 81111112122666666666 421222222832226622212113 5331251516233232421222 7 9 22126666666610.4025137810.402513781133420.4252569340.4458949542112 70
 29811111626 4112 7 1611661666410 5616 4661126 46  4 1616 566 83  53212661666195222222222211221222222101121313322666666666 431214222252216621112113 9112151516135514321212 8 9 7662666666661 1.18770408 1.18770408144361.2076637721.5908109576111 64
 69421211626 536666 16116626662 7 361666 5 566 51  56666666666666661111211666245522222222211222222212 82 91211221222222221 312321222223146621222213 82321414 9225524221222 5 3 52126666666610.4331762770.433176277255320.2216804830.1950548382111 86
