"UID_ANONYM_COVID","coco2_cal_SEXE","coco2_cal_AGE1","coco2_cal_AGE2","coco2_cal_DIPL","coco2_cal_ZEAT","coco2_q04","coco2_q06_1","coco2_q06_2","coco2_q06_3","coco2_q06_4","coco2_q06_5","coco2_q06_6","coco2_q06_7","coco2_q06_8","coco2_q06_9","coco2_q06_10","coco2_q07_1","coco2_q07_2","coco2_q07_3","coco2_q09","coco2_q10","coco2_q16","coco2_q17","coco2_q18","coco2_q19","coco2_q20","coco2_q21","coco2_q25_a","coco2_q38_modifie","coco2_q47","coco2_q51","coco2_q52_1","coco2_q52_2","coco2_q52_3","coco2_q52_4","coco2_q53_1","coco2_q53_2","coco2_q53_3","coco2_q54_1","coco2_q54_2","coco2_q54_3","coco2_q54_4","coco2_q54_5","coco2_q54_6","coco2_q54_7","coco2_q54_8","coco2_q54_bis_1","coco2_q54_bis_2","coco2_q54_bis_3","coco2_q54_bis_4","coco2_q54_bis_5","coco2_q54_bis_6","coco2_q54_bis_7","coco2_q59_1","coco2_q59_2","coco2_q59_3","coco2_q59_4","coco2_q59_5","coco2_q59_6","coco2_q59_7","coco2_q59_8","coco2_q59_9","coco2_q64","coco2_q68","coco2_q79","coco2_q92","coco2_q93_1","coco2_q93_2","coco2_q93_3","coco2_q93_4","coco2_q93_5","coco2_q94","coco2_q95_1","coco2_q95_2","coco2_q95_3","coco2_q95_4","coco2_q95_5","coco2_q95_6","coco2_q96_1","coco2_q96_2","coco2_q96_3","coco2_q96_4","coco2_q96_5","coco2_q96_6","coco2_q96_7","coco2_q96_8","coco2_q96_9","coco2_q97","coco2_q98","coco2_q99_1","coco2_q99_2","coco2_q99_3","coco2_Bloc2_DO_exp1_gpe","coco2_exp1_gpe_a","coco2_exp1_gpe_b","coco2_q100","coco2_q101","coco2_q102","coco2_q103_1","coco2_q103_2","coco2_q103_3","coco2_q104_1","coco2_q104_2","coco2_q104_3","coco2_q105_1","coco2_q105_2","coco2_q105_3","coco2_q106_1","coco2_q106_2","coco2_q106_3","coco2_q107_1","coco2_q107_2","coco2_q107_3","coco2_q107_4","coco2_q107_5","coco2_q107_6","coco2_q107_7","coco2_q107_8","coco2_q108_1_1","coco2_q108_2_1","coco2_q108_3_1","coco2_q108_4_1","coco2_q108_5_1","coco2_q108_6_1","coco2_q108_7_1","coco2_q109_1","coco2_q109_2","coco2_q109_3","coco2_q109_4","coco2_q109_5","coco2_q109_6","coco2_q109_7","coco2_q109_8","coco2_q110_1","coco2_q110_2","coco2_q110_3","coco2_q111_1","coco2_q111_2","coco2_q111_3","coco2_q111_4","coco2_q111_5","coco2_q111_6","coco2_q112_1","coco2_q112_2","coco2_q112_3","coco2_SWB","ea17_SWB","ea18_SWB","ea19_SWB","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014","coco2_POIDS","coco2_PDSPLT","coco2_cal_NAT","coco2_POIDS_INIT","coco2_PDSPLT_INIT"
1,1,6,6,2,5,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,3,4,2,5,2,4,1,4,4,5,5,5,5,3,6,6,6,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,7,2,1,2,2,3,5,1,2,2,2,2,1,6666,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,6666,1,5,9999,5,3,5,5,1,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.77022942607731,0.744254091650987,0.561975740668906,0.739924041717906,1,14,1,9,6,2,6,4,1,1,2,7,6,6,6,6,1,6,6,2,3,8,2,6,2,1,1,6,6,6,6,6,6,6,6,66,2,66,4,1,6,2,1,2,6,6,1,6,66,1,5,5,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,77,99,3,1,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,1,3,2,3,2,3,7,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,8,3,1,61,6,5,3,2019,5,111,3,3,1.01593034383471,"NA",1,1.29120799,"NA"
5,2,4,4,3,5,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,5,1,5,1,4,2,1,4,5,5,4,5,3,6,6,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,8,8,1,7,2,1,4,0,4,7,1,9999,9999,9999,9999,9999,6666,9999,9999,9999,9999,9999,9999,2,1,2,2,2,2,1,2,2,1,3,2,2,2,2,6666,1,5,5,5,4,5,5,2,6666,6666,2,1,2,1,2,2,2,2,2,2,2,1,2,2,6666,6666,6666,6666,6666,1,6666,4,3,6,3,6,4,4,4,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.986161636077245,0.720330053553198,0.802028397007887,0.76946688895675,2,10,1,3,6,2,6,5,1,3,2,3,1,6,6,6,6,6,10,4,4,10,6,6,1,1,1,3,2,3,6,6,1,1,6,66,66,6,11,6,6,3,1,2,6,6,2,6,66,1,6,3,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,12,9,2,1,1,1,1,2,2,3,2,6,6,6,6,6,6,6,6,6,1,2,3,2,2,2,2,4,2,4,2,1,1,2,2,2,1,1,2,1,2,3,5,3,3,41,4,4,4,2019,5,112,8,0,0.392188503822199,"NA",1,0.608547109,"NA"
6,2,6,6,4,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,5,2,5,1,4,2,4,1,5,5,5,5,3,3,2,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,9,4,2,2,1,1,5,1,2,1,2,2,2,6666,2,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,6666,1,5,5,4,4,5,2,3,6666,4,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.950663318477368,0.804462790251993,0.832648305725895,0.811228125197736,2,14,1,1,6,2,6,5,3,6,6,66,6,6,6,6,1,6,11,5,6,66,2,6,2,6,66,88,6,66,6,6,6,6,6,66,66,66,5,6,6,1,1,1,2,1,3,2,4,3,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,13,10,1,1,2,2,2,1,2,4,2,6,6,6,6,6,6,6,6,6,1,3,2,1,3,1,1,2,4,3,3,2,5,1,2,2,2,1,2,1,1,2,5,2,3,54,5,666,1,2019,1,111,10,8,0.121104834544673,"0,29097566734174",1,0.220353115,"0,65757376"
7,1,3,3,3,5,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,4,4,2,4,3,3,2,4,2,1,5,3,5,3,2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,7,1,1,1,4,4,4,5,6,2,4,1,1,1,1,2,2,55,1,1,2,2,1,2,1,1,2,2,2,2,1,1,2,2,4,2,2,2,2,6666,1,2,6,3,1,5,1,1,6666,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,3,6666,1,6666,6666,6666,6666,6,6,6,6,6,6,3,3,3,5,4,2,2,2,1,3,2,1,1,4,0.691865474433946,0.391403561141623,0.566151933070877,0.472622967957765,1,8,2,3,6,1,2,4,1,1,2,4,1,6,6,1,6,6,10,4,5,11,6,2,1,2,3,6,2,5,6,6,1,1,6,66,5,66,11,3,6,5,4,2,6,6,2,6,66,1,4,3,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,11,5,1,1,1,1,1,2,2,2,2,6,6,6,6,6,6,6,6,6,4,2,3,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,4,1,2,8,3,2,36,3,4,4,2019,5,112,9,2,0.654054412786553,"0,72866614566951",2,0.394095845,"0,743816426"
8,1,3,3,4,3,2,2,1,2,1,2,2,2,2,2,2,1,2,2,3,6666,4,5,2,4,2,3,1,3,3,2,5,4,5,3,5,5,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,7,1,7,3,2,4,6,2,5,1,1,1,2,2,2,70,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,3,9999,9999,9999,1,2,6666,4,7,5,2,5,1,1,6666,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,4,4,1,0.790077342017248,0.79292217224937,0.847768433157537,0.821506978202917,1,9,1,1,6,2,6,3,1,3,2,3,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,5,1,4,6,6,1,1,6,66,5,66,8,2,6,2,1,1,3,4,3,2,4,2,3,2,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,12,10,1,1,1,2,2,2,2,4,2,6,6,6,6,6,6,6,6,6,2,2,4,1,2,2,2,2,2,2,2,2,4,2,2,2,1,2,2,1,1,1,4,2,4,36,3,3,3,2019,2,111,9,7,0.398768682914065,"0,541533395832668",1,0.315611018,"0,648964268"
9,1,3,3,4,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,2,5,2,4,2,1,3,2,5,4,5,4,6,4,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,4,1,4,2,8,2,1,6,5,2,6,1,1,1,2,2,2,70,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,3,2,1,1,1,2,6666,1,3,5,5,2,5,5,3,6666,6666,2,1,2,1,2,2,2,2,2,1,1,1,2,2,6666,6666,6666,1,1,1,6666,5,3,3,4,3,3,4,4,5,5,1,6666,6666,6666,6666,6666,6666,5,1,5,0.896830847829996,0.815110023787964,0.752405162191978,0.687979553714143,1,9,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,1,2,1,6,6,1,1,6,66,66,5,11,6,6,5,3,2,6,6,2,6,66,1,8,3,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,2,12,7,1,1,2,2,2,2,2,4,2,6,6,6,6,6,6,6,6,6,3,2,3,1,3,2,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,8,2,3,51,5,4,4,2019,2,112,9,0,0.043500925500181,"0,285981869160813",1,0.035905221,"0,402513781"
10,2,5,5,3,8,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,6666,4,5,2,4,2,3,1,4,3,5,5,5,3,5,6,6,6,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,1,9,1,1,9,5,1,9,2,2,5,1,2,1,2,2,2,6666,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,3,2,2,2,1,1,6666,5,5,5,4,5,5,1,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.790077342017248,0.67962050395718,0.503754584045184,0.746147063597523,2,12,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,8,3,3,9,2,2,2,2,6,2,6,5,6,6,6,6,6,66,66,5,10,6,6,2,1,1,3,1,3,2,4,2,3,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,9,5,1,1,2,2,2,1,2,4,2,6,6,6,6,6,6,6,6,6,5,1,3,2,1,2,1,2,3,2,1,2,1,2,2,1,2,2,1,2,1,3,5,3,2,51,5,5,3,2019,8,111,9,7,0.893912394951891,"NA",1,1.787505177,"NA"
13,1,4,4,3,7,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,4,4,2,4,2,2,6,2,4,5,4,5,5,4,4,4,3,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,8,2,1,2,1,3,4,1,5,6666,1,1,2,2,2,75,2,2,2,2,1,2,1,2,2,1,2,1,1,1,2,3,2,1,1,1,2,6666,1,5,6,6,2,5,5,3,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.709366913447573,0.55709574530991,0.516891157641634,0.587539787999087,1,10,1,1,6,2,6,1,3,6,6,66,1,6,6,6,6,6,9,3,6,66,6,6,1,6,66,5,2,66,6,6,1,1,6,66,3,66,2,4,6,1,1,2,6,6,2,6,66,1,6,4,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,9,8,1,1,2,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,1,2,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,2,4,2,5,47,4,666,1,2019,7,112,9,4,0.0476079080916136,"0,55995319563922",1,0.044879963,"0,491116771"
14,1,5,5,1,8,3,2,2,1,2,2,2,1,2,1,2,1,2,2,3,6666,3,3,3,3,3,2,2,4,4,5,5,4,5,4,3,4,6,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,7,2,2,5,7,3,2,1,2,1,2,1,2,6666,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,3,2,2,2,1,2,6666,5,5,5,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.463719162317126,0.470986733881855,0.396565645727931,0.395868238103491,1,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,5,1,1,4,2,2,2,2,6,5,6,2,6,6,6,6,6,66,2,66,2,2,6,2,1,1,2,1,1,6,66,2,4,5,4,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,8,4,1,1,2,2,2,2,2,3,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,5,4,5,61,6,5,3,2019,8,111,6,4,2.99140669128432,"NA",1,2.453382281,"NA"
15,2,5,5,3,7,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,6666,5,5,2,5,2,4,2,4,2,5,5,2,5,1,6,6,6,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,1,3,1,2,8,3,3,3,0,2,8,1,2,1,2,2,2,6666,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,4,2,2,2,2,6666,1,3,0,2,2,5,5,3,6666,6666,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,5,5,0.896830847829996,0.721842537781828,0.880329941208675,0.773825342720137,2,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,8,3,2,6,2,2,2,2,6,4,6,2,6,6,6,6,6,66,66,2,11,6,6,1,1,1,2,1,1,6,66,1,7,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,11,9,1,1,1,1,2,1,2,3,2,6,6,6,6,6,6,6,6,6,3,3,4,1,4,2,2,1,4,1,1,2,3,2,2,2,1,2,1,2,1,3,6,2,3,61,6,4,1,2019,7,112,8,2,0.202790462863406,"0,689003959910248",1,0.304862789,"1,383351242"
