"UID_ea","ea19_A1","ea19_A2A_rec","ea19_A3_rec","ea19_A3B_rec","ea19_A3C_rec","ea19_A3D","ea19_A3E_rec","ea19_A4","ea19_A5","ea19_A5A","ea19_A5C","ea19_A5C_rec","ea19_B1","ea19_B1A","ea19_B1B","ea19_B5A","ea19_B5C","ea19_B25","ea19_B10A","ea19_B10AA","ea19_B11","ea19_B18C","ea19_B18_rec","ea19_B2_rec","ea19_B4_rec","ea19_B5_rec","ea19_B5B_rec","ea19_B6A_rec","ea19_B6B_rec","ea19_B7B_rec","ea19_B8_rec","ea19_B9_rec","ea19_PCS18","ea19_PCS6","ea19_B1CJT","ea19_B1ACJT","ea19_B1BCJT","ea19_B10ACJT","ea19_B2CJT_rec","ea19_B4CJT_rec","ea19_B11CJT","ea19_B18CJT_rec","ea19_B18CCJT","ea19_PCS6CJT","ea19_TYPMEN5","ea19_C1_rec","ea19_C1JEU","ea19_C8","ea19_C8A_rec","ea19_C8B_rec","ea19_D1_rec","ea19_D1A","ea19_D2","ea19_D3","ea19_D4_rec","ea19_D5_rec","ea19_D6","ea19_D7_1","ea19_D7_2","ea19_D7_3","ea19_D7_4","ea19_D7_5","ea19_D7_6","ea19_D7_7","ea19_D7_8","ea19_D7_9","ea19_D7_10","ea19_E1A","ea19_E1B","ea19_E1C","ea19_E1D","ea19_E1E","ea19_E1F","ea19_E1G","ea19_E1H","ea19_E1I","ea19_E1J","ea19_E2AUC","ea19_E2AUC_SOURCE","ea19_E2A_rec","ea19_E3A","ea19_E3B","ea19_E3C","ea19_E3D","ea19_E3E","ea19_E4","ea19_E5A","ea19_E5B_1","ea19_E5B_2","ea19_E5B_3","ea19_E5B_4","ea19_E5B_5","ea19_E5B_6","ea19_E5B_7","ea19_E5B_8","ea19_E5B_9","ea19_E5","ea19_F1_rec","ea19_F3","ea19_F4","ea19_F5","ea19_F6_rec","ea19_F7","ea19_F8","ea19_G1","ea19_G2","ea19_G3A","ea19_G3B","ea19_G3C","ea19_G4","ea19_G5A_rec","ea19_G6_1","ea19_G6_2","ea19_G6_3","ea19_G6_4","ea19_G5","ea19_H2","ea19_H4","ea19_I1","ea19_I8","ea19_J1","ea19_K3","ea19_H1_rec","ea19_H1A","ea19_H3","ea19_H4A_rec","ea19_H5","ea19_I9A","ea19_J2","ea19_J3","ea19_J7A","ea19_J7B","ea19_J7C","ea19_J7D","ea19_J7E","ea19_J11","ea19_J9","ea19_J10","ea19_J12","ea19_J13_rec","ea19_K1_rec","ea19_K2_rec","ea19_K4","ea19_K5A","ea19_K5B","ea19_K6","ea19_K6A_1","ea19_K6A_2","ea19_K6A_3","ea19_K6A_4","ea19_K6A_5","ea19_K6A_6","ea19_K6A_7","ea19_K6B","ea19_PANEL","POIDS_INIT","PDSPLT_INIT","cal_SEXE","cal_AGE1","cal_AGE2","cal_DIPL","cal_ZEAT","POIDS_ea19","PDSPLT_ea19","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014"
273,1,8,1,1,6,2,6,6,3,6,6,66,1,6,1,1,66,2,6,6,6,4,10,5,6,1,6,3,66,8,4,6,47,4,66,6,6,6,66,6,6,66,6,666,2,2,2,2,6,6,1,6,66,1,5,4,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,9,1,11,1,1,1,1,1,2,2,6,6,6,6,6,6,6,6,6,6,4,1,2,2,4,2,2,2,2,1,1,1,2,66,2,2,1,2,2,1,1,2,6,2,4,2,1,6,1,5,9,2,3,3,3,3,3,3,2,1,2,2,2,5,3,6,1,1,2,6,6,6,6,6,6,6,6,1,0.64037942,0.64037942,1,3,3,3,4,0.817497351,1.00816772,4,120,0,0
764,1,6,1,1,6,2,6,4,1,1,2,5,1,6,1,1,66,1,6,6,6,5,11,5,6,1,6,5,66,1,4,6,36,3,1,6,1,6,3,6,6,10,4,4,4,4,3,2,6,6,3,2,4,1,4,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,1,12,1,1,2,1,1,2,2,6,6,6,6,6,6,6,6,6,5,2,2,3,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,7,2,1,2,1,5,6,4,9,2,3,3,4,3,4,2,2,1,2,2,2,5,6,5,1,1,2,6,6,6,6,6,6,6,6,1,0.676028238,0.676028238,1,2,2,4,2,1.157453968,1.282862204,2,120,0,4
129,1,9,1,1,6,2,6,1,3,6,6,66,1,6,1,1,66,2,6,6,6,5,11,1,6,1,6,66,6,9,6,6,32,3,66,6,6,6,66,6,6,66,6,666,1,1,1,2,6,6,1,6,66,1,6,4,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,99,3,77,1,1,1,2,2,2,2,6,6,6,6,6,6,6,6,6,5,1,3,3,2,1,2,1,1,3,3,2,2,1,66,2,2,1,2,2,1,1,4,7,2,1,2,1,5,1,5,16,2,3,3,4,3,3,3,2,1,2,2,2,7,5,3,1,1,2,6,6,6,6,6,6,6,6,1,0.332282377,0.332282377,1,3,3,4,5,0.208178312,0.277610841,5,211,2,3
116,1,11,1,1,6,2,6,4,1,1,2,7,1,6,1,1,66,2,6,6,6,5,11,5,6,1,6,4,66,6,1,6,36,3,1,6,1,6,5,6,6,11,5,4,3,2,1,1,2,1,1,6,66,1,6,4,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,9,1,12,1,2,1,1,1,2,2,6,6,6,6,6,6,6,6,6,4,3,2,3,2,2,2,1,2,3,1,1,2,1,66,2,2,1,2,2,2,1,3,6,3,3,2,1,5,1,4,9,2,3,4,4,2,4,2,2,1,2,2,2,4,5,4,1,1,2,6,6,6,6,6,6,6,6,1,2.215685561,2.215685561,1,5,5,1,7,2.950372898,3.161441651,7,112,7,2
142,2,14,1,1,6,2,6,4,1,1,2,7,6,2,2,6,66,6,6,6,1,1,5,5,6,6,6,6,66,5,4,6,54,5,6,2,2,6,5,6,1,6,2,4,3,2,1,1,2,1,1,6,66,1,5,5,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,8,1,11,1,2,1,2,2,2,2,6,6,6,6,6,6,6,6,6,3,2,2,2,1,2,2,1,2,2,1,2,1,1,66,2,2,1,2,2,2,1,3,6,3,3,2,1,5,1,5,14,1,3,3,4,3,4,3,2,1,1,2,2,2,4,6,1,1,2,6,6,6,6,6,6,6,6,1,2.238520067,2.238520067,2,6,6,1,5,0.79426348,1.031067695,5,300,0,0
915,2,10,1,1,6,2,6,4,1,1,2,7,1,6,1,1,66,2,6,6,6,2,7,5,6,1,6,1,66,11,1,6,55,5,1,6,1,6,8,2,6,10,4,2,3,2,1,2,6,6,1,6,66,1,5,4,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,7,1,11,1,1,1,1,1,2,2,6,6,6,6,6,6,6,6,6,5,3,1,3,1,5,2,2,3,1,1,1,1,4,66,2,2,2,1,2,1,1,2,9,1,5,2,1,6,1,5,12,2,3,3,5,3,3,2,2,1,2,2,2,3,3,7,6,6,2,6,6,6,6,6,6,6,6,1,1.172934921,1.172934921,2,4,4,2,6,0.684833472,0.932913763,6,111,7,5
277,2,12,1,1,6,2,6,4,1,1,2,7,7,2,2,6,66,6,3,6,1,1,5,5,6,6,6,6,66,6,2,6,54,5,6,2,2,6,66,6,2,9,3,666,3,2,1,2,6,6,1,6,66,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,7,1,11,1,1,1,1,1,1,2,6,6,6,6,6,6,6,6,6,5,3,8,4,2,1,2,2,2,3,4,2,1,4,66,2,1,2,2,2,2,2,4,6,2,4,2,1,5,6,4,11,2,3,5,5,2,5,2,2,1,2,2,2,2,1,7,6,6,2,6,6,6,6,6,6,6,6,1,1.40774078,1.40774078,2,5,5,2,8,0.597717003,0.636693112,8,111,9,7
467,1,12,1,1,6,2,6,5,1,3,2,4,7,2,2,6,66,6,3,6,1,2,7,1,6,6,6,66,1,1,6,6,66,6,7,2,2,3,88,6,1,7,2,999,3,2,1,2,6,6,3,2,1,1,4,3,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,6,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,3,2,2,1,1,1,66,2,2,1,2,2,1,1,3,5,3,1,2,1,5,1,5,16,1,2,2,2,4,2,4,2,1,1,1,1,2,4,1,3,4,1,2,2,2,2,2,2,1,1,1,1.261420487,1.261420487,1,5,5,2,5,0.282246273,0.280695029,5,120,0,0
837,1,9,1,1,6,2,6,4,1,1,2,6,1,6,1,1,66,2,6,6,6,1,5,5,6,1,6,1,66,2,1,6,66,6,7,2,2,3,4,6,1,7,2,5,4,6,4,1,3,4,3,2,9,1,5,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,1,9,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,4,2,2,2,3,2,1,2,1,1,1,1,4,66,1,2,2,2,2,1,2,3,2,3,3,2,1,5,6,4,16,1,3,4,4,3,5,3,1,6,2,1,2,6,9,6,2,1,1,2,1,2,2,2,2,2,1,1,0.950823782,0.950823782,1,3,3,2,6,0.683683928,0.958599012,6,112,6,0
20,1,13,3,3,2,1,1,3,1,3,2,2,6,2,2,6,66,6,6,6,1,5,11,5,6,6,6,6,66,10,4,6,41,4,3,2,2,1,1,6,6,5,1,5,4,3,2,1,3,2,3,1,9,2,3,2,5,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,5,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,3,4,1,3,2,4,2,2,1,1,1,2,1,2,6,2,1,2,2,1,1,1,3,5,3,3,1,2,2,1,2,16,2,2,3,3,3,3,3,2,2,2,2,2,5,4,6,1,1,2,6,6,6,6,6,6,6,6,1,2.165356804,2.165356804,1,5,5,4,1,2.043082307,2.026381238,1,111,10,8
